condition_id,dataset_id,encoder_id,projection_dim,tau,balanced_accuracy,accuracy,macro_f1
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.6,0.7059021372872057,0.7454038997214485,0.6789540500420109
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.7,0.699739596814783,0.7373259052924791,0.6720139576331252
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.8,0.6948669637081757,0.7317548746518105,0.6668570403264149
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,0.9,0.6924884989248108,0.728690807799443,0.6651580142121504
pathmnist__resnet18_imagenet1k_v1__d128,pathmnist,resnet18_imagenet1k_v1,128,1.0,0.6924359088673396,0.7285515320334262,0.666376096674465
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.0,0.7325496799443194,0.7934540389972145,0.7301740167399418
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.1,0.7349616657897087,0.7974930362116992,0.7320640582272915
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.2,0.7327234271858265,0.7916434540389972,0.7272921987306473
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.3,0.7241548009231267,0.781058495821727,0.7162602204483189
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.4,0.715943014606502,0.7714484679665738,0.7051748431613731
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.5,0.7107262708160361,0.7633704735376045,0.6976526660872955
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.6,0.7056402421844382,0.7554317548746519,0.6908525945743209
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.7,0.7023621305465227,0.7498607242339833,0.6859387748712966
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.8,0.6952788034084069,0.7428969359331477,0.6787443865234207
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,0.9,0.6904266087231032,0.737883008356546,0.6740144684332413
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,1.0,0.6873342522561837,0.7341225626740947,0.6715177599869246
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.0,0.8228345892081541,0.8590529247910863,0.8194423668049672
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.1,0.8295128097848417,0.862116991643454,0.8212382229730255
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.2,0.8146908167555029,0.8459610027855153,0.8015507479025953
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.3,0.8001919043242488,0.8295264623955432,0.784580168957312
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.4,0.7874284472226942,0.8129526462395543,0.7692934251803237
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.5,0.7725713744968559,0.7980501392757661,0.7547071982988851
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.6,0.761796506101606,0.7852367688022284,0.744305627730061
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.7,0.7536969189792635,0.7760445682451254,0.7360733048550515
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.8,0.7525351195709639,0.7749303621169916,0.7352629346290322
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,0.9,0.7522521604455915,0.7740947075208914,0.7341474651802398
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,1.0,0.7555610859280327,0.7778551532033426,0.7369872316635828
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.0,0.7663267200262558,0.8089136490250697,0.7580588528857999
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.1,0.7819341674365279,0.8197771587743733,0.7712105371087453
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.2,0.784268794230227,0.8186629526462396,0.7707772226838457
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.3,0.7785380399246242,0.8090529247910864,0.7616475713818962
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.4,0.7698321121700552,0.7984679665738161,0.7509823951225152
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.5,0.7613587794160348,0.787883008356546,0.7408004051435124
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.6,0.7570758136901726,0.7817548746518106,0.7353837342187639
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.7,0.7528156228634877,0.7768802228412256,0.7313947242617193
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.8,0.7524940572229833,0.7753481894150418,0.7311510006941068
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,0.9,0.7533357845299131,0.7756267409470752,0.7316881878009829
pathmnist__vit_b_16_imagenet1k_v1__d64,pathmnist,vit_b_16_imagenet1k_v1,64,1.0,0.7561217867207247,0.7779944289693593,0.733744173716075
